File,Form,Fee,Ordered,Completed,Days,Client,Type,Area,FHA
1372star,COND,350,2017-08-14,2017-09-12,29,FmNB,2,1,N
5280mead,URAR,360,2017-08-16,2017-08-25,9,SMC,2,7,N
3874pige,URAR,150,2017-08-16,2017-08-25,9,SMC,1,10,N
11180peac2,2055i,275,2017-08-21,2017-08-25,4,WSCB,3,5,N
7641pine2,URAR,500,2017-08-21,2017-08-29,8,SMC,1R,7,N
2413lake,URAR,360,2017-08-23,2017-08-30,7,SMC,2,15,N
3602barr,COND,360,2017-08-23,2017-08-31,8,SMC,1R,7,N
5110erie,2055,150,2017-08-24,2017-09-01,8,FFCU,3,12,N
9922kent,2055,300,2017-08-24,2017-09-01,8,FmNB,3,15,N
2465saga,URAR,425,2017-08-24,2017-09-05,12,HSF,1R,16,Y
738fran,URAR,360,2017-08-28,2017-09-06,9,SMC,1,9,N
2104marg,2055,150,2017-08-28,2017-09-07,10,FFCU,3,9,N
514beld,URAR,350,2017-08-28,2017-09-18,21,FmNB,2,2,N
1627spri,URAR,350,2017-08-28,2017-09-20,23,FmNB,2,2,N
1340yale2,Mult,500,2017-08-28,2017-09-22,25,FmNB,2,1,N
5730vant,URAR,360,2017-08-30,2017-09-02,3,SMC,1R,7,N
357wate,2055,300,2017-09-01,2017-09-08,7,TCSB,3,30,N
6375bosf,2055i,300,2017-09-01,2017-09-10,9,Owner,3,8,N
700-32,2055,290,2017-09-01,2017-09-11,10,FmNB,3,9,N
804wood,URAR,350,2017-09-01,2017-09-13,12,TCSB,1R,1,N
9347erie,Insp,100,2017-09-05,2017-09-07,2,FmNB,5,,N
8790mudb,URAR,360,2017-09-05,2017-09-14,9,SMC,1,7,N
2415lind,Insp,100,2017-09-06,2017-09-12,6,FmNB,5,,N
3811sher,URAR,300,2017-09-06,2017-09-18,12,FFCU,1R,17,N
1828wood,URAR,410,2017-09-06,2017-09-19,13,SMC,1R,10,Y
3518crow,URAR,360,2017-09-07,2017-09-18,11,SMC,1R,8,N
12541clev2,URAR,350,2017-09-08,2017-09-20,12,TCSB,2,15,N
8750elmf,2055i,275,2017-09-08,2017-09-22,14,WSCB,3,12,N
424park,URAR,300,2017-09-11,2017-09-27,16,FFCU,2,11,N
98east2,URAR,350,2017-09-12,2017-10-03,21,FmNB,2,15,N
2351love,URAR,410,2017-09-13,2017-09-25,12,SMC,1R,15,Y
5154birk3,URAR,375,2017-09-13,2017-09-26,13,HSF,2,,N
3287hunt,Insp,100,2017-09-14,2017-09-19,5,TCSB,5,,N
11456poor,2055,300,2017-09-15,2017-09-25,10,FmNB,3,11,N
2465saga,1004d,100,2017-09-18,2017-09-19,1,HSF,5,16,N
3335mead,URAR,360,2017-09-18,2017-09-27,9,SMC,1R,8,N
15454orrv,URAR,350,2017-09-19,2017-09-29,10,FmNB,1,10,N
1668wood,URAR,400,2017-09-19,2017-09-29,10,HSB,1,6,N
7800diam,URAR,360,2017-09-19,2017-10-03,14,SMC,1R,7,N
9347erie,Insp,100,2017-09-22,2017-09-26,4,FmNB,5,,N
1424chan,Cond,360,2017-09-26,2017-10-04,8,SMC,1R,8,N
210trem2,2055,150,2017-09-26,2017-10-06,10,FFCU,3,9,N
645waba,URAR,350,2017-09-26,2017-10-13,17,FFCU,1,9,N
12384cant,URAR,360,2017-09-26,2017-10-14,18,SMC,2,15,N
844milb,2055,150,2017-09-27,2017-10-06,9,FFCU,3,9,N
149-6th2,2055,290,2017-09-28,2017-10-05,7,FmNB,3,11,N
5952lind,URAR,410,2017-09-28,2017-10-10,12,SMC,1R,6,Y
1025brus,URAR,350,2017-09-28,2017-10-12,14,TCSB,2,6,N
3503birc,2055i,275,2017-10-02,2017-10-10,8,FCB,3,1,N
11211fort,2055,300,2017-10-05,2017-10-16,11,FmNB,3,10,N
4416gree,URAR,425,2017-10-05,2017-10-16,11,HSF,1R,6,Y
2110summ,URAR,360,2017-10-05,2017-10-16,11,SMC,2,6,N
2415lind,Insp,100,2017-10-06,2017-10-12,6,FmNB,5,,N
664scot,URAR,360,2017-10-06,2017-10-17,11,SMC,1R,9,N
273main,URAR,300,2017-10-10,,,FFCU,2,11,N
valleybr,URAR,400,2017-10-12,2017-10-19,7,FmNB,1,16,N
2534midv,2055,300,2017-10-13,2017-10-20,7,FmNB,3,6,N
704nort,URAR,375,2017-10-13,2017-10-23,10,FCB,1R,9,N
4614dueb,URAR,375,2017-10-13,2017-10-23,10,FNBPAA,1R,17,N
1130lane2,2055,150,2017-10-13,2017-10-24,11,FFCU,3,9,N
5550dorr,Cond,360,2017-10-13,2017-10-25,12,SMC,1R,6,N
9756gerd,URAR,360,2017-10-16,2017-10-26,10,SMC,2,18,N
1822fair,1004c,375,2017-10-16,2017-10-27,11,FCB,1R,16,N
587-23,2055,150,2017-10-18,2017-10-26,8,FFCU,3,9,N
7131shad,URAR,360,2017-10-19,,,SMC,2,7,N
9347erie,Insp,100,2017-10-20,2017-10-23,3,FmNB,5,,N
623summ,URAR,400,2017-10-20,2017-10-30,10,HSB,1R,5,Y
3945thun,URAR,410,2017-10-20,2017-10-30,10,SMC,1R,5,Y
1640cher,URAR,375,2017-10-20,2017-10-31,11,FCB,1,2,N
1361shel,URAR,350,2017-10-23,2017-11-01,9,FmNB,2,6,N
7408gale,URAR,360,2017-10-23,2017-11-01,9,SMC,1R,7,N
7912gree2,URAR,400,2017-10-23,2017-11-03,11,FmNB,1,7,N
5847gart,2055i,275,2017-10-24,2017-11-07,14,Owner,3,7,N
163hill,URAR,350,2017-10-25,2017-11-06,12,FFCU,1R,1,N
2760reld,URAR,360,2017-10-26,2017-11-07,12,SMC,2,10,N
664cher,MULT,500,2017-10-26,2017-11-08,13,ACBC,1R,12,N
9347erie,1004d,100,2017-10-30,2017-11-01,2,FmNB,5,,N
1130lane3,2055i,225,2017-10-30,2017-11-10,11,FFCU,3,9,N
2575puma,2055,150,2017-11-02,2017-11-09,7,FFCU,3,6,N
3272corn,2055,275,2017-11-02,2017-11-10,8,FCB,3,7,N
811oakc,URAR,360,2017-11-02,2017-11-14,12,SMC,2,9,N
5215nave,URAR,375,2017-11-02,2017-11-16,14,FCB,1,8,N
1629trem,2055,300,2017-11-06,2017-11-14,8,FmNB,3,9,N
westfall,LAND,250,2017-11-06,2017-11-16,10,FmNB,1,16,N
1374pebb,1075,300,2017-11-07,2017-11-15,8,FmNB,3,9,N
2896suns,URAR,360,2017-11-07,2017-11-21,14,SMC,2,45,N
656tusc,URAR,350,2017-11-08,2017-11-18,10,FFCU,1,11,N
